review_text,category
min saya lupa pin nya bagaimana ini ya ,Neutral
kenapa susah di buka sudah dua hari enggak bisa login,Negative
aplikasi ini menurut saya belum layak untuk rilis prosesnya masih terbilang sangat ribet untuk masyarakat belum paham tentang penggunaannya karena harus ada barcode dari dukcapil juga saya rasa dengan adanya barcode yang harus didapat melalui petugas ini tambah menyulitkan bukan mempermudah,Negative
akan lebih baik jika terdapat fitur download gambar kakak akta dll langsung dari aplikasi ini akan sangat membantu untuk mencetak sendiri baik di rumah ataupun tempat fotokopian selama ini yang saya lakukan adalah screenshot melalui website siakonline dan itu terlalu merepotkan ,Negative
maaf kok kalo pas saya mau masang ktp susah dan tidak susuai dengan aplikasi nya sih ya,Negative
aplikasi digital seharusnya membantu pemegang identitas dalam segala urusan terhubung ke pelayanan umum dan perbankanpembukaan rekening saja tidak bisa menggunakan app digital ini padahal data ini jelas jelas dikeluarkan oleh kemendagri yang jelas jelas dari pemerintah ,Neutral
enggak bisa buka kak nph ya,Negative
aplikasi ini sangat lengkap untuk data diri dan simpel serta sangat membantu masyarakat,Positive
maaf ini aplikasinha kenapa ya tiap mau di buka selalu kesalahan koneksi padahal jaringan bagus saja enggak membantu sama sekali tambah nyusahin saja seharusnya sih kalau ke sesuatu tempat lupa bawa ktp ya katanya bisa pakai ktp digital ini tapi ternyata mau di buka aplikasinya malah susah bukannya membantu malah nyusahin ,Negative
percuma punya ktp digital kalau masalah administrasi masih meminta foto copy ktp dan harus menyerahkan ktp fisik pula terus buat apaan ktp digital,Negative
mau makan dirumah,Neutral
cara pendaftarannya simpel tapi berbelit harus dtang langsung ke dukcapil hanya untuk urusan scan barcode doang ? oh no seharusnya kalau sudah online kasihlah semua akses itu dari online ini namanya online setengah mateng lah kalo telor mending enak dimakan kalo ini malah cuma bikin dongkol dan ngrepotin orang namanya bos bos bos bos,Negative
reques buat aplikasi e ktp mobile buat jaga jaga kelupaan atau semacam nya ,Neutral
saya sudah donload aplikasinya tapi kenapa pas mau daptar kok susah amat,Negative
katanya sudah digital kok harus datang lagi ke dukcapil untuk scan barcode verifikasinya,Negative
tolong aplikasinya ditingkatkan kembali susah buat login selalu gagal coba lagi coba lagi padahal sinyal saya menggunakan wi fi tapi selalu gagal tolong di perbaiki tks ,Negative
sangat membantu sekali dan fitur fiturnya lengkap tingkat kan terus performa dan aturan kebijakan agar bisa di terima di semua instansi di indonesia,Positive
tidak dapat pin ikd soalnya akuny deh ke hapus dan lupa,Neutral
lambat respon nya,Negative
penggunaan lebih praktis dan pendaftaran sangat mudah terima kasih sudah memberikan kemudahan dengan adanya aplikasi ini ,Positive
karena baru di coba,Neutral
aplikasi yang cukup jelek,Negative
aplikasi berfungsi normal mudah di gunakan serta pelayanannya cepat,Positive
aman nyaman dan praktis cara penggunaanya disamping mnjaga penyalahgunaan data kita ,Positive
ya harus ke dukcapil untuk verifikasi wkwkwkw ribet amat sim sama stnk online saja sudah enggak perlu kemana,Negative
cukup membantu,Positive
error wae anjing nyaho penting ,Negative
mohon untuk di upgrade selalu,Neutral
sudah semangat install daftar isi data ujung nya scan barcode ke dukcapil langsung uninstal,Neutral
kenapa saya tidak bisa membuka aplikasi identitas ktp digital nya,Neutral
kenapa tidak bisa di buka dengan semua cara termasuk suda di bersihkan chace suda dondload ulang mohon bantuan nya,Neutral
menjengkelkan aplikasi tidak bisa terbuka mau urus apa apa jadi ribet mau cetak ktp di capil diarkan pakai ktp digital padahal aplikasinya jelek mau buka rekening jadi susah mau urus yang lain juga susah,Negative
untuk android enggak bisa bagaimana solusinya masa beli hp baru lagi tolong di perbaiki lagi aplikasinya,Neutral
ada pelayanan dan peraturan baru harusnya bisa berlaku surut masa kepengurusan di bank harus ada ktp fisik sedangkan nunjukin aplikasi ini enggak asa gunanya malah suruh nyetak identitas lah fungsinya apa ini aplikasi kalau tau begitu kenapa waktu meminta cetak identitas diri tidak diperkenankan ? bikin aturan tuh harus bisa menyeluruh dan berlaku surut lah !,Negative
ternyata masih harus ke dukcapil setempat juga untuk meminta kode qr nya dari kecamatan sudah bisa kah ?,Neutral
buruk sekali,Negative
pas meminta qr barcode tetap harus ke petugas dukcapil sama saja kita harus datang ke dukcapil kalau bikin aplikasi jangan setengah nama nya digital harus dari aplikasi sudah bisa daftar ,Neutral
min saya lupa pin bagaimana cara nya agar bisa kembali di akses karena tidak ada fitur lupa pin diaplikasinya,Neutral
hampir semua aplikasi birokrasi konektivitas bosok kabeh ! mulai dari simkah ikd dll bosok kabeh server e,Neutral
sangat disayangkan aplikasi yang dikelola oleh lembaga tinggi negara kok seperti ini permasalahan di koneksi padahal signal full sudah larut berhari hari lo,Negative
dengan adanya applikasi ikd ini jadi lebih memudahkan di era digital dan sangat bermanfaat mantap,Positive
mohon untuk diberi akses log out karena jika ingin ganti hp biar tidak menggantun di hp lama akses log ini nya bisa menggunakan nik dan pin ,Neutral
bingungvcara dapat qr kode dari mana ? tolong sekedar saran yakl bikin aplikasi mungkin harus dipastikan dulu sudah layak untuk di sosialisasikan belum ke masyarakatkan tujuannya mempermudahtp yang dirasakan malah mempersusahtolong ya sekelas kementrian harusnya bisa membuat aplikasi yang jauh lebih bagus lagi ,Negative
sangat membantu cuma di sayangkan pas aktipasi enggak bisa pakai hp saya mengaktipasi lewat computer mudah han kedepan akan lebih baik,Positive
sudah download dan sudah di regristrasi ke dukcapil tapi enggak bisa di buka kembali setelah beberapa hari seperti nya butuh banyak perbaikan saya kasih satu dulu ,Neutral
hp hp rusak gk bisa langsung masuk kudu daftar lagi anehh bagaimana cara masuknya ,Negative
mohon di tingkat kan lagikenapa sekarang sudah tidak bisa masuk ke aplikasi nya malah error,Negative
sangat membantu sekali dan mudah untuk di gunakan mantap ini ada inovasi terbaru semoga di tahun makin banyak fitur terbarunya good,Positive
inovatifmempermudah kita saat bepergiancukup datang ke dinas dukcapil setempat untuk pengaktifannya ,Positive
mencari dokumen nya susah banget loading nya ,Negative
aplikasi milik negara begini amat baru daftar suruh scan kode qr sedangkan mau scan juga bagaimana caranya enggak ada kode yang mau di scan,Neutral
kenapa harus isi dan scan barcode cari ke petugasnya atau ke kantor capil zaman teknologi canggih semua dalam genggaman tolong di tambah fitur dan di perbaiki kembali agar tujuan membuat nudah tidak menjadi menyusahkan dan ribet zaman teknologi canggih harusnya cukup dari rumah semuanya bisa ! !,Negative
aplikasinya sudah bagus tapi mau buka data kartu keluarga kenapa tidak bisa padahal jaringan lancar aplikasi yang tidak terpakai juga sudah saya hapus memori juga masih kenapa masih saja belum bisa terbuka padahal perlu datanya sangat disayangkan,Negative
lupa pin login ikd sudah cek email masuk dari siak hilang mohon petunjuknya,Neutral
pertama pemakaian lancar keesokkan harinya dipakai lagi malah terjadi kesalahan koneksi coba lagi wadehel bro koneksi gue lancar saja please lah sempurnain dulu aplikasinya baru di kasih ke pengguna paling ya enggak di gubris komplain gue bjir lah,Negative
ini kenapa sh setiap masuk jaringan selalu hilang padahal buka yt tiktok dsb lncar saja tuh,Negative
meminta scan barcode lagi sama saja rekaman ulang saya verifikasi wajah berkali kali tetap gagal dan meminta code qr lagi ribett bukannya di permudahkan malah di persulit kan,Negative
mantap aplikasinya tapi belum lengkap semua dokumen kepwndusukan misalnya sim surat nikah digital dll,Neutral
mau buka dokumen enggak bisa terus dari awal bikin sampai sekarang masih saja enggak bisa dibuka tiap mau buka cuma muter doang loading terus,Negative
kok enggak bisa masuk ke aplikasi ? padahal sinyal bagus tolong jangan mempersulit ! kalau enggak niat bikin aplikasi enggak usah bikin aplikasi !,Negative
saya belum bisa mendaftar karena aplikasi ini tidak bisa dibuka,Neutral
aplikasi ini baru buat asn dulu ya ? makan nya ada scan barkot ? ? belum buat publik ?,Neutral
ini manfaatnya buat apa ya selain pengajuan bikin kakak dan pengajuan bio data,Positive
kenapa saya tidak bisa membuat e ktp digital sedangkan orang lain bisa aneh pesannya selalu invalid tlng di tindak lanjut ,Negative
kenapa selalu gagal buat lihat ktp dan kartu keluarga ,Neutral
qr dimana kita bisa temukan qr nya enggak masuk mohon infonya,Neutral
dulu masih bisa di buka sekarang pakai wifi pakai data sinyal kuat tetap saja enggak bisa di buka aneh hapus saja aplikasinya dari pada enggak guna apa cuma mau ambil data penduduk saja,Negative
aplikasi enggak jelas masuk aplikasi saja enggak bisa sampai hp dan laptop pun enggak bisa dengan jaringan bagus dan kencang menggunakan wi fi tolong perbaiki dan dikembangkan supaya masyarakat luas bisa menggunakan untuk keperluan lainnya dan pasti bersifat penting ! jangan sampai aplikasi ini jadi aplikasi sampah kritik keras buat aplikasi ini wajar karena tidak bisa digunakan lagi ,Negative
aplikasi hanya bisa buka biodata ktp tidak bisa,Neutral
harusnya aplikasinya bisa baca ktp dari hpnya lewat nfc jadi enggak perlu report ke capil verifikasi lewat nfc dari hp buat apa ada chipnya di ktp kalau indak bisa di baca ! ! kecuali chipnya deh eror enggak kebaca di hp baru datang ke capil ! ! di mesin cetak atm saja sudah bisa baca ktp masak enggak bisa buat aplikasi yang begitu ?,Negative
sementara saya kasih bintang dulu ya karena saya vaksin sudah kali dan di aplikasi peduli lindungi sudah kali juga tapi kenapa di aplikasi ini hanya tertampil kali vaksin kecewa banget sih yang saya harapkan untuk kedepannya agar data atau kartu identitas dapat di unduh seperti aplikasi mobile jkn penting banget untuk pelayanan lainnya yang memerlukan berkas atau lampiran dokumen kartu identitas okeh semangat indonesia semakin kedepan ,Negative
aplikasi idiot mau buka saja memuat masih error,Negative
bukan daftar online namanya kalau masih harus meminta kode qr ke dukcapil ribet online ,Negative
btw sudah pada tau ini aplikasi praktis dan modern semangat indonesia menuju modern yang praktis dan tidak antri hemat kertas,Positive
duh sering hang error muat lagihm seharusnya lebih ditingkatkan lagi dan dipikirkan jaringan seluler juga yang tinggal di daerah yang sinyal rada sempoyongan,Negative
jika lupa pasword masuk aplikasi bagaimana kak,Neutral
kureng ,Negative
belum bisa diakses karena belum dapat barcode,Neutral
