review_text,category
dulu soalnya pas dibuka sering ada tulisan tidak ada koneksi ,Neutral
dokumen lainnya tidak muncul lagi mohon di perbaharui lagi,Neutral
ditunggu update an aplikasinya karena masih banyak kekurangan yang harus dibenahi semangat,Neutral
aplikasi yang sangat tidak bermanfaat mengira bisa daftar online untuk membuka aplikasi ini eh ternyata masih tetap di suruh secara offline untuk scan kode qr yang di berikan petugas sama juga bohong mengira lebih mudah delete dan uninstall ,Negative
enggak bisa login,Negative
ta kasih bintang dulu min nanti kalau sudah bisa integrasi dengan tte baru ta kasih bintang dan kalau semua semua layanan publik seperti stasiun kak bandara sertifikat vaksin booster paspor dll sudah terintegrasi baru ta kasih bintang ,Neutral
setiap aplikasi yang dibuat pemerintah selalu enggak bermutu enggak berkualitas aplikasinya online masih harus kepetugas daftarnya jaman sudah online indonesia masih terbelakang please ayo maju permudah sistem mu jaman sudah online verifikasi videocall bisa ,Negative
tolong tambahkan fitur download file agar gambar file dapat digunakan dengan resolusi yang baik untuk dipergunakan sebagai kelengkapan dokumen seperti melamar pekerjaan persyaratan tertentu dan lain sebagainya sebab file di handphone terlihat pecah dan bila di screenshot akan lebih pecah lagi pixelnya semoga diperhatikan terima kasih ,Neutral
di install sekarang enggak bisa terus,Negative
bila lupa password gemana sebab enggak ada pilhan di aplikasi ini coba perbaiki lagi,Neutral
tidak bisa masuk kenapa ya ?,Negative
admin aplikasi enggak bisa di buk,Neutral
aplikasinya bagus tapi tidak menu untuk pertanyaan seperti salah ketik email tidak perbaikan,Negative
tapi masih sulit,Negative
integrasikan semua di aplikasi ini baik kartu bpjs kesehatan sudah ketenaga pekerjaan dan mohon di tambah opsi unduh dowload ,Neutral
lagi di butuhin banget kerna ktp hilang ini aplikasi di buka saja enggak bisa bacaannya koneksi gagal sedangkan buat download nya saja hitungan detik kuota banyak sinyal ada bagaimana ini aplikasi nya ?,Negative
pendaftaran nya stak di qr disdukcapil lah min saya kerja diluar kota asal ktp masa harus pulang dulu sih min ? bisa lebih mudah lagi enggak min ?,Negative
kenapa enggak bisa masuk masalah jaringan terus,Negative
ingin ketawa rasanya setelah install aplikasi ini harusnya setelah isi data dengan benar dan ambil foto kartu digital ektp langsung bisa dikirim lewat email kalo masih harus scan barcode ke capil atau ke kecamatan itu namanya ribetkalau seorang pekerja kapan bisa ke capil ribet dehtlg di perbarui aplikasinya supaya mempermudah bukan malah bikin ribet,Negative
enggak bisa dishare atau download dokumen padahal masih ada beberapa aplikasi tempat saya berjualan kerja yang membutuhkan verifikasi ktp sedangkan ktp fisik saya sudah rusak jadi tidak lolos verifikasi,Negative
aplikasi enggak guna tidak bisa akses malah kita di salahkan jaringan koneksipadahal sudah pakai wafi data hp tetap jaringan koneksi bermasalah enggak niat ya begini,Negative
enggak bisa di buka,Negative
aplikasi yang sangat membantu mempermudah dan efisien serta menanggulangi kehilangan dan kerusakan dokumen,Positive
lupa pin login ikd sudah cek email masuk dari siak hilang mohon petunjuknya,Neutral
aduh tetap harus urusan sama dukcapil jugarepot ini aplikasi,Negative
mau masuk server kok sulitharap di permudah perlu perbaikan lagi agar sempurna ,Negative
enggak pernah bisa di buka aplikasinya pakai data cellular pakai wifi juga enggak bisa bagaimana mau digitalisasi kalo kayak begini,Negative
dengan adanya app ikd kita tidak perlu khawatir lagi akan ktp rusak hilang karena sudah ada ktp digital sebagai alternatifnya dan masih banyak menu lain seperti kakak bpjs npwp dsb mungkin untuk pengembangannya app trsebut bisa di akses lewat iphone apple untuk hp yang tidak suoport coba di cek lagi versi androitnya berapa ? ? karena ada keterbatasan app bisa support minim android versi ,Neutral
masih sangat baik,Positive
